user_id,signup_date,lead_source,organization_type,organization_size,expected_student_count,role_title,primary_use_case,required_features,current_solution,decision_timeframe,converted,conversion_date
USR2047,2024-04-08,Direct Traffic,Corporate Training,1000+,100-500,Course Creator,Skills Development,"Compliance Training, Mobile Learning, Certification Management, Integration Capabilities, Content Library, Assessment Tools",Basic Tools,1-3 months,False,
USR2048,2024-04-11,Education Conference,Higher Education,1000+,501-1000,Training Manager,Academic Courses,"Mobile Learning, Assessment Tools, Course Creation, Compliance Training, Analytics & Reporting, Content Library, Virtual Classroom",No LMS,3-6 months,False,
USR2049,2024-04-11,Social Media,Higher Education,51-200,1000-5000,Course Creator,Employee Training,"Course Creation, Analytics & Reporting, Mobile Learning",No LMS,3-6 months,False,
USR2050,2024-04-08,Product Review Site,K-12 School,1000+,<100,Course Creator,Compliance Training,"Certification Management, Content Library, Analytics & Reporting, Mobile Learning",No LMS,1-3 months,False,
USR2051,2024-04-13,Direct Traffic,Corporate Training,1000+,100-500,HR Manager,Employee Training,"Virtual Classroom, Compliance Training, Mobile Learning, Integration Capabilities",Basic Tools,3-6 months,False,
USR2052,2024-04-09,Referral,Higher Education,201-500,100-500,Training Manager,Compliance Training,"Course Creation, Assessment Tools, Compliance Training, Content Library",Competitor Product,Just exploring,False,
USR2053,2024-04-07,Referral,K-12 School,1-50,<100,Department Head,Professional Certification,"Course Creation, Mobile Learning, Compliance Training, Analytics & Reporting, Content Library, Certification Management",Custom Built Solution,1-3 months,False,
USR2054,2024-04-09,Education Conference,K-12 School,201-500,501-1000,IT Administrator,Skills Development,"Certification Management, Integration Capabilities, Virtual Classroom, Course Creation",Basic Tools,6+ months,False,
USR2055,2024-04-10,Social Media,Certification Body,1000+,100-500,IT Administrator,Professional Certification,"Assessment Tools, Course Creation",Competitor Product,1-3 months,False,
USR2056,2024-04-04,Social Media,Higher Education,1000+,501-1000,HR Manager,Compliance Training,"Integration Capabilities, Compliance Training, Mobile Learning, Virtual Classroom",No LMS,Just exploring,False,
USR2057,2024-04-06,Direct Traffic,Higher Education,201-500,501-1000,Teacher/Professor,Compliance Training,"Mobile Learning, Analytics & Reporting, Certification Management, Integration Capabilities",Basic Tools,1-3 months,True,2024-04-15
USR2058,2024-04-04,Social Media,Higher Education,1-50,1000-5000,IT Administrator,Employee Training,"Integration Capabilities, Mobile Learning, Content Library",Basic Tools,Within 1 month,False,
USR2059,2024-04-11,Google Search,Higher Education,51-200,100-500,IT Administrator,Customer Training,"Compliance Training, Certification Management",No LMS,1-3 months,False,
USR2060,2024-04-07,Product Review Site,Higher Education,1-50,100-500,Teacher/Professor,Customer Training,"Analytics & Reporting, Assessment Tools, Certification Management",No LMS,6+ months,False,
USR2061,2024-04-03,Google Search,Individual Course Creator,51-200,501-1000,HR Manager,Customer Training,"Analytics & Reporting, Integration Capabilities, Virtual Classroom, Content Library",No LMS,1-3 months,False,
USR2062,2024-04-03,Social Media,Certification Body,1000+,100-500,Course Creator,Professional Certification,"Virtual Classroom, Compliance Training, Integration Capabilities, Analytics & Reporting",Custom Built Solution,Just exploring,False,
USR2063,2024-04-04,Referral,Corporate Training,1-50,501-1000,Training Manager,Skills Development,"Integration Capabilities, Content Library, Virtual Classroom",Competitor Product,1-3 months,True,2024-04-15
USR2064,2024-04-05,Google Search,Certification Body,1000+,100-500,Independent Instructor,Customer Training,"Analytics & Reporting, Content Library, Compliance Training, Mobile Learning, Assessment Tools",No LMS,Within 1 month,True,2024-04-15
USR2065,2024-04-03,Google Search,Corporate Training,201-500,100-500,Department Head,Compliance Training,"Analytics & Reporting, Assessment Tools, Mobile Learning, Virtual Classroom",Basic Tools,6+ months,False,
USR2066,2024-04-04,Google Search,Professional Training Provider,1000+,100-500,Independent Instructor,Skills Development,"Content Library, Virtual Classroom, Analytics & Reporting, Course Creation, Certification Management, Compliance Training, Mobile Learning",No LMS,Within 1 month,True,2024-04-15
USR2067,2024-04-10,Social Media,Certification Body,1000+,100-500,Department Head,Employee Training,"Analytics & Reporting, Course Creation, Certification Management",Basic Tools,Just exploring,False,
USR2068,2024-04-06,Google Search,Corporate Training,1-50,501-1000,Course Creator,Customer Training,"Course Creation, Assessment Tools, Virtual Classroom, Mobile Learning, Analytics & Reporting",Basic Tools,6+ months,False,
USR2069,2024-04-10,Education Conference,Corporate Training,201-500,1000-5000,Independent Instructor,Compliance Training,"Integration Capabilities, Content Library, Compliance Training, Certification Management, Mobile Learning, Virtual Classroom",Competitor Product,3-6 months,False,
USR2070,2024-04-06,Education Conference,Certification Body,1-50,<100,Course Creator,Skills Development,"Content Library, Analytics & Reporting, Integration Capabilities, Mobile Learning, Certification Management",Competitor Product,3-6 months,False,
USR2071,2024-04-09,Referral,Individual Course Creator,1-50,1000-5000,Course Creator,Compliance Training,"Compliance Training, Content Library, Assessment Tools, Certification Management, Integration Capabilities",Custom Built Solution,Within 1 month,False,
USR2072,2024-04-13,Social Media,Certification Body,1-50,100-500,IT Administrator,Skills Development,"Content Library, Integration Capabilities, Virtual Classroom, Compliance Training",No LMS,1-3 months,False,
USR2073,2024-04-04,Product Review Site,Corporate Training,1000+,100-500,Teacher/Professor,Compliance Training,"Analytics & Reporting, Course Creation, Mobile Learning, Certification Management",Custom Built Solution,Within 1 month,False,
USR2074,2024-04-01,Google Search,Corporate Training,1000+,1000-5000,Department Head,Academic Courses,"Content Library, Assessment Tools, Analytics & Reporting, Virtual Classroom",Basic Tools,1-3 months,False,
USR2075,2024-04-11,Google Search,Corporate Training,201-500,100-500,HR Manager,Employee Training,"Compliance Training, Course Creation, Assessment Tools, Content Library, Mobile Learning",Competitor Product,Within 1 month,False,
USR2076,2024-04-08,Education Conference,Individual Course Creator,201-500,100-500,Department Head,Compliance Training,"Integration Capabilities, Virtual Classroom, Analytics & Reporting, Assessment Tools, Compliance Training",Custom Built Solution,1-3 months,False,
USR2077,2024-04-08,Education Conference,Professional Training Provider,1000+,<100,Department Head,Compliance Training,"Virtual Classroom, Certification Management, Assessment Tools, Course Creation, Content Library, Analytics & Reporting",No LMS,6+ months,False,
USR2078,2024-04-03,Product Review Site,Corporate Training,201-500,5000+,Teacher/Professor,Skills Development,"Compliance Training, Integration Capabilities, Course Creation, Assessment Tools, Mobile Learning",Competitor Product,Within 1 month,False,
USR2079,2024-04-02,Direct Traffic,K-12 School,1-50,501-1000,HR Manager,Academic Courses,"Mobile Learning, Virtual Classroom, Analytics & Reporting, Course Creation, Certification Management",Basic Tools,Within 1 month,False,
USR2080,2024-04-14,Google Search,Corporate Training,201-500,100-500,Training Manager,Compliance Training,"Compliance Training, Course Creation, Certification Management, Content Library",Custom Built Solution,Within 1 month,False,
USR2081,2024-04-09,Education Conference,Higher Education,501-1000,100-500,Course Creator,Academic Courses,"Analytics & Reporting, Assessment Tools, Virtual Classroom, Certification Management, Integration Capabilities",Competitor Product,1-3 months,False,
USR2082,2024-04-05,Product Review Site,Higher Education,51-200,501-1000,IT Administrator,Skills Development,"Virtual Classroom, Content Library, Assessment Tools, Analytics & Reporting, Integration Capabilities, Course Creation",Basic Tools,1-3 months,False,
USR2083,2024-04-06,Google Search,Certification Body,501-1000,1000-5000,IT Administrator,Compliance Training,"Compliance Training, Course Creation, Content Library, Analytics & Reporting",Competitor Product,1-3 months,False,
USR2084,2024-04-10,Product Review Site,Higher Education,501-1000,100-500,Course Creator,Employee Training,"Content Library, Assessment Tools, Integration Capabilities, Compliance Training, Virtual Classroom, Certification Management",Custom Built Solution,6+ months,True,2024-04-15
USR2085,2024-04-12,Social Media,Individual Course Creator,1000+,1000-5000,Course Creator,Customer Training,"Course Creation, Analytics & Reporting, Content Library, Virtual Classroom",Basic Tools,6+ months,False,
USR2086,2024-04-13,Google Search,Higher Education,1-50,501-1000,HR Manager,Employee Training,"Assessment Tools, Mobile Learning, Certification Management, Integration Capabilities",Custom Built Solution,1-3 months,False,
USR2087,2024-04-07,Social Media,Higher Education,1000+,100-500,Course Creator,Academic Courses,"Analytics & Reporting, Virtual Classroom, Mobile Learning, Assessment Tools",Competitor Product,1-3 months,False,
USR2088,2024-04-05,Product Review Site,Higher Education,201-500,100-500,IT Administrator,Professional Certification,"Assessment Tools, Certification Management, Course Creation, Content Library",Basic Tools,3-6 months,True,2024-04-15
USR2089,2024-04-11,Direct Traffic,Higher Education,201-500,501-1000,IT Administrator,Customer Training,"Mobile Learning, Virtual Classroom, Course Creation, Certification Management, Compliance Training",No LMS,1-3 months,False,
USR2090,2024-04-06,Product Review Site,Corporate Training,201-500,100-500,HR Manager,Skills Development,"Mobile Learning, Compliance Training, Content Library, Analytics & Reporting, Assessment Tools",Competitor Product,6+ months,False,
USR2091,2024-04-08,Google Search,Higher Education,51-200,1000-5000,Independent Instructor,Employee Training,"Course Creation, Integration Capabilities, Virtual Classroom, Certification Management",Competitor Product,1-3 months,False,
USR2092,2024-04-08,Referral,Higher Education,201-500,<100,Independent Instructor,Customer Training,"Integration Capabilities, Mobile Learning, Content Library, Analytics & Reporting, Virtual Classroom",No LMS,1-3 months,False,
USR2093,2024-04-04,Education Conference,Professional Training Provider,51-200,<100,Course Creator,Skills Development,"Compliance Training, Virtual Classroom, Integration Capabilities, Certification Management, Course Creation",No LMS,Within 1 month,False,
USR2094,2024-04-12,Referral,Corporate Training,1000+,100-500,Course Creator,Academic Courses,"Certification Management, Mobile Learning, Integration Capabilities, Virtual Classroom, Analytics & Reporting",Basic Tools,Within 1 month,False,
USR2095,2024-04-12,Google Search,K-12 School,51-200,1000-5000,Training Manager,Academic Courses,"Mobile Learning, Assessment Tools, Virtual Classroom, Content Library, Integration Capabilities",Custom Built Solution,Within 1 month,False,
USR2096,2024-04-11,Education Conference,Higher Education,1-50,<100,Department Head,Customer Training,"Assessment Tools, Compliance Training, Content Library",Basic Tools,3-6 months,True,2024-04-15
USR2097,2024-04-06,Google Search,Corporate Training,51-200,1000-5000,HR Manager,Compliance Training,"Analytics & Reporting, Virtual Classroom, Integration Capabilities, Compliance Training, Mobile Learning",No LMS,3-6 months,False,
USR2098,2024-04-06,Social Media,Individual Course Creator,201-500,501-1000,Training Manager,Compliance Training,"Analytics & Reporting, Integration Capabilities, Mobile Learning",Custom Built Solution,Within 1 month,False,
USR2099,2024-04-06,Education Conference,Higher Education,1-50,1000-5000,Course Creator,Compliance Training,"Content Library, Integration Capabilities, Compliance Training, Mobile Learning, Assessment Tools, Virtual Classroom",Competitor Product,Within 1 month,False,
USR2100,2024-04-08,Education Conference,Individual Course Creator,51-200,1000-5000,Training Manager,Employee Training,"Virtual Classroom, Integration Capabilities, Mobile Learning",Custom Built Solution,6+ months,True,2024-04-15
USR2101,2024-04-10,Product Review Site,Corporate Training,1-50,<100,HR Manager,Compliance Training,"Certification Management, Virtual Classroom, Integration Capabilities",No LMS,3-6 months,True,2024-04-15
USR2102,2024-04-05,Product Review Site,Certification Body,201-500,1000-5000,IT Administrator,Compliance Training,"Content Library, Course Creation, Compliance Training, Mobile Learning",No LMS,1-3 months,False,
USR2103,2024-04-02,Product Review Site,Certification Body,1-50,100-500,Department Head,Academic Courses,"Compliance Training, Assessment Tools, Integration Capabilities, Analytics & Reporting, Content Library, Certification Management",No LMS,3-6 months,False,
USR2104,2024-04-13,Education Conference,Corporate Training,1-50,501-1000,HR Manager,Employee Training,"Course Creation, Analytics & Reporting, Compliance Training, Integration Capabilities",Competitor Product,3-6 months,False,
USR2105,2024-04-11,Product Review Site,Professional Training Provider,1-50,501-1000,IT Administrator,Academic Courses,"Content Library, Certification Management, Analytics & Reporting, Course Creation",Competitor Product,6+ months,False,
USR2106,2024-04-04,Education Conference,Corporate Training,1-50,<100,IT Administrator,Academic Courses,"Course Creation, Content Library, Integration Capabilities, Virtual Classroom, Certification Management",Competitor Product,3-6 months,True,2024-04-15
USR2107,2024-04-11,Referral,Professional Training Provider,201-500,100-500,Course Creator,Employee Training,"Analytics & Reporting, Content Library, Integration Capabilities, Virtual Classroom, Certification Management, Course Creation",No LMS,3-6 months,True,2024-04-15
USR2108,2024-04-01,Education Conference,Corporate Training,501-1000,1000-5000,Department Head,Customer Training,"Assessment Tools, Compliance Training, Analytics & Reporting, Virtual Classroom, Course Creation, Mobile Learning",Basic Tools,1-3 months,True,2024-04-15
USR2109,2024-04-07,Referral,Professional Training Provider,201-500,<100,Department Head,Customer Training,"Course Creation, Mobile Learning, Compliance Training, Content Library, Integration Capabilities",Basic Tools,Within 1 month,False,
USR2110,2024-04-11,Product Review Site,Professional Training Provider,1-50,100-500,IT Administrator,Customer Training,"Assessment Tools, Course Creation, Certification Management, Compliance Training, Analytics & Reporting",No LMS,1-3 months,False,
USR2111,2024-04-12,Education Conference,Corporate Training,1000+,<100,Independent Instructor,Academic Courses,"Certification Management, Course Creation, Content Library, Virtual Classroom",Custom Built Solution,3-6 months,False,
USR2112,2024-04-05,Education Conference,Professional Training Provider,1-50,<100,Independent Instructor,Professional Certification,"Analytics & Reporting, Virtual Classroom, Compliance Training, Assessment Tools, Certification Management",Competitor Product,1-3 months,False,
USR2113,2024-04-08,Referral,K-12 School,201-500,100-500,Training Manager,Professional Certification,"Course Creation, Virtual Classroom, Content Library, Compliance Training, Analytics & Reporting, Assessment Tools, Certification Management",No LMS,Just exploring,False,
USR2114,2024-04-06,Product Review Site,Corporate Training,51-200,100-500,HR Manager,Customer Training,"Virtual Classroom, Mobile Learning, Certification Management",Custom Built Solution,1-3 months,False,
USR2115,2024-04-02,Google Search,Certification Body,201-500,501-1000,HR Manager,Customer Training,"Assessment Tools, Course Creation, Content Library, Integration Capabilities",Basic Tools,3-6 months,False,
USR2116,2024-04-08,Social Media,Professional Training Provider,201-500,501-1000,Department Head,Academic Courses,"Compliance Training, Certification Management, Mobile Learning, Integration Capabilities, Course Creation",No LMS,1-3 months,False,
USR2117,2024-04-05,Education Conference,Corporate Training,1000+,100-500,IT Administrator,Academic Courses,"Integration Capabilities, Virtual Classroom, Certification Management, Assessment Tools, Compliance Training, Analytics & Reporting",No LMS,1-3 months,False,
USR2118,2024-04-12,Social Media,Individual Course Creator,1-50,<100,IT Administrator,Customer Training,"Virtual Classroom, Course Creation",No LMS,3-6 months,False,
USR2119,2024-04-06,Education Conference,Professional Training Provider,201-500,501-1000,Independent Instructor,Skills Development,"Mobile Learning, Compliance Training, Integration Capabilities, Assessment Tools, Virtual Classroom",Basic Tools,3-6 months,True,2024-04-15
USR2120,2024-04-05,Social Media,Professional Training Provider,1000+,501-1000,Independent Instructor,Academic Courses,"Certification Management, Assessment Tools, Virtual Classroom, Content Library",Basic Tools,Within 1 month,False,
USR2121,2024-04-08,Direct Traffic,Higher Education,1000+,100-500,Training Manager,Academic Courses,"Mobile Learning, Course Creation, Content Library, Integration Capabilities, Virtual Classroom",No LMS,Just exploring,False,
USR2122,2024-04-06,Education Conference,Certification Body,201-500,<100,Course Creator,Employee Training,"Virtual Classroom, Analytics & Reporting, Integration Capabilities, Assessment Tools, Certification Management, Compliance Training",Custom Built Solution,3-6 months,True,2024-04-15
USR2123,2024-04-02,Direct Traffic,Higher Education,201-500,100-500,Independent Instructor,Employee Training,"Mobile Learning, Assessment Tools, Compliance Training, Content Library, Certification Management",Custom Built Solution,6+ months,False,
USR2124,2024-04-02,Product Review Site,Corporate Training,501-1000,<100,Department Head,Employee Training,"Virtual Classroom, Integration Capabilities, Content Library, Mobile Learning, Certification Management, Course Creation",Basic Tools,Just exploring,False,
USR2125,2024-04-13,Education Conference,Corporate Training,1-50,100-500,Department Head,Employee Training,"Course Creation, Mobile Learning, Analytics & Reporting",No LMS,3-6 months,False,
USR2126,2024-04-14,Product Review Site,Professional Training Provider,1000+,501-1000,Independent Instructor,Employee Training,"Assessment Tools, Certification Management, Integration Capabilities, Compliance Training",Competitor Product,6+ months,False,
USR2127,2024-04-04,Education Conference,Professional Training Provider,1-50,100-500,IT Administrator,Customer Training,"Compliance Training, Certification Management, Virtual Classroom, Course Creation",No LMS,3-6 months,False,
USR2128,2024-04-03,Google Search,Corporate Training,1-50,1000-5000,HR Manager,Employee Training,"Compliance Training, Virtual Classroom, Mobile Learning, Course Creation, Content Library",No LMS,1-3 months,False,
USR2129,2024-04-14,Google Search,Professional Training Provider,1000+,501-1000,Independent Instructor,Compliance Training,"Assessment Tools, Content Library, Compliance Training",Custom Built Solution,Within 1 month,False,
USR2130,2024-04-03,Social Media,Higher Education,1-50,100-500,Independent Instructor,Customer Training,"Virtual Classroom, Analytics & Reporting, Course Creation, Compliance Training, Certification Management",Competitor Product,3-6 months,False,
USR2131,2024-04-08,Education Conference,Individual Course Creator,201-500,<100,Course Creator,Professional Certification,"Analytics & Reporting, Integration Capabilities, Compliance Training, Certification Management",No LMS,6+ months,False,
USR2132,2024-04-06,Product Review Site,Professional Training Provider,51-200,100-500,Independent Instructor,Employee Training,"Mobile Learning, Content Library",Custom Built Solution,6+ months,False,
USR2133,2024-04-03,Direct Traffic,Higher Education,51-200,100-500,Department Head,Customer Training,"Virtual Classroom, Course Creation, Content Library, Assessment Tools, Integration Capabilities",Competitor Product,6+ months,False,
USR2134,2024-04-07,Product Review Site,Higher Education,201-500,<100,Teacher/Professor,Academic Courses,"Course Creation, Assessment Tools, Virtual Classroom",Custom Built Solution,Within 1 month,False,
USR2135,2024-04-11,Education Conference,Higher Education,201-500,5000+,Course Creator,Professional Certification,"Integration Capabilities, Assessment Tools, Certification Management, Compliance Training, Virtual Classroom, Content Library",Custom Built Solution,1-3 months,True,2024-04-15
USR2136,2024-04-11,Product Review Site,Corporate Training,51-200,100-500,Training Manager,Professional Certification,"Course Creation, Assessment Tools, Virtual Classroom, Certification Management, Analytics & Reporting",No LMS,3-6 months,True,2024-04-15
USR2137,2024-04-14,Product Review Site,Corporate Training,1000+,501-1000,HR Manager,Skills Development,"Assessment Tools, Mobile Learning, Compliance Training, Content Library, Integration Capabilities",Competitor Product,Within 1 month,False,
USR2138,2024-04-10,Product Review Site,Professional Training Provider,1000+,<100,Course Creator,Compliance Training,"Virtual Classroom, Mobile Learning, Content Library, Certification Management, Analytics & Reporting, Assessment Tools",No LMS,6+ months,True,2024-04-15
USR2139,2024-04-10,Product Review Site,Professional Training Provider,201-500,<100,Independent Instructor,Professional Certification,"Content Library, Assessment Tools, Analytics & Reporting, Course Creation",No LMS,1-3 months,False,
USR2140,2024-04-12,Product Review Site,Professional Training Provider,501-1000,501-1000,Department Head,Academic Courses,"Assessment Tools, Certification Management, Compliance Training, Content Library",Custom Built Solution,Within 1 month,False,
